assumptions,downscaling,harmonisation,model,modified,region,scenario,sector,source,unit,variable,2015-01-01,2020-01-01,2030-01-01,2040-01-01,2050-01-01,2060-01-01,2070-01-01,2080-01-01,2090-01-01,2100-01-01
med,intensity_convergence,aneris_constant_ratio,IMAGE,,ABW,SSP1-19,,,kt CH4/yr,Emissions|CH4|Energy Sector,0.0892285407892369,0.10223421099581201,0.06796725097187159,0.08357914732262023,0.09225027409444654,0.09735208943921003,0.0889172601545521,0.06416934888137732,0.039834531347200317,0.02065821908858646
med,intensity_convergence,aneris_reduce_ratio_2080,IMAGE,,ABW,SSP1-19,,,kt CH4/yr,Emissions|CH4|Transportation Sector,0.008003416423409198,0.009192758006188849,0.006861472168046314,0.0043276108095904355,0.0018645770402832254,0.0006418460860847231,0.00040990053083162035,0.00033569261721232624,0.00023828231482512653,0.00019358675899125048
med,intensity_convergence,aneris_reduce_offset_2150_cov,IMAGE,,ABW,SSP1-19,,,Mt H2/yr,Emissions|H2|Agriculture,3.229396535931913e-06,3.540202753312224e-06,2.5864203468175132e-06,5.076148849296935e-06,4.427268641337722e-06,7.035925761322039e-06,1.1506256251971854e-05,1.5898240737104343e-05,2.1670445976986942e-05,2.7222248469019063e-05
med,intensity_convergence,aneris_reduce_ratio_2080,IMAGE,,ABW,SSP1-19,,,Mt H2/yr,Emissions|H2|Energy Sector,3.438022651788369e-06,3.737628233136972e-06,4.212414785852529e-06,1.4430068411973614e-05,2.1575383398130473e-05,3.442161497305136e-05,5.804346884058251e-05,0.00010234564548213357,0.0001650702039885545,0.0002488705030879943
med,intensity_convergence,aneris_reduce_ratio_2080,IMAGE,,ABW,SSP1-19,,,Mt H2/yr,Emissions|H2|Industrial Sector,2.806220525014611e-06,2.8994702337028326e-06,2.5905026277640516e-06,5.488036868624225e-06,6.163383895356504e-06,9.761649045916306e-06,1.580689366316182e-05,2.3144292729387907e-05,3.194531833639309e-05,3.9597884085369996e-05
med,intensity_convergence,aneris_reduce_ratio_2080,IMAGE,,ABW,SSP1-19,,,Mt H2/yr,"Emissions|H2|Residential, Commercial, Other",7.67874442144798e-06,7.87750521703453e-06,6.8590311797696756e-06,1.3980043982882091e-05,1.5468204463686716e-05,2.4378293753165174e-05,3.937386747203321e-05,5.760541015313372e-05,7.937394432850024e-05,9.827626606323662e-05
med,intensity_convergence,aneris_reduce_ratio_2080,IMAGE,,ABW,SSP1-19,,,Mt H2/yr,Emissions|H2|Solvents production and application,8.123159364609063e-08,8.434202744263154e-08,7.315853075377932e-08,1.575522070215445e-07,1.770026597171482e-07,2.7445588428685325e-07,4.2176350679309203e-07,5.804780161666984e-07,7.814602672009215e-07,9.471563940876479e-07
med,intensity_convergence,aneris_reduce_ratio_2080,IMAGE,,ABW,SSP1-19,,,Mt H2/yr,Emissions|H2|Transportation Sector,3.7697145119129176e-06,3.877366161681924e-06,3.4757543228361777e-06,8.70215714344753e-06,1.3010401576889784e-05,2.073046438074421e-05,3.464909518901242e-05,5.772418066914202e-05,8.96965215250734e-05,0.00012950997565966985
med,intensity_convergence,aneris_reduce_ratio_2080,IMAGE,,ABW,SSP1-19,,,Mt H2/yr,Emissions|H2|Waste,1.4641964651817213e-06,1.6648755530048443e-06,1.5772056131116343e-06,2.947423887490434e-06,3.292798067211496e-06,5.202372499289769e-06,8.21278932113235e-06,1.1474135984963389e-05,1.4932297314406619e-05,1.796561814167379e-05
med,intensity_convergence,aneris_reduce_ratio_2080,IMAGE,,ABW,SSP1-19,,,kt NH3/yr,Emissions|NH3|Energy Sector,0.0007814401561029,0.0009529009128634661,0.001549900962775636,0.0026020473815798672,0.0042729148420690925,0.0068250646900680995,0.010488741385583176,0.015423968975901415,0.021177115039796815,0.02735945916370329
