assumptions,downscaling,harmonisation,model,modified,region,scenario,sector,source,unit,variable,2015-01-01,2020-01-01,2030-01-01,2040-01-01,2050-01-01,2060-01-01,2070-01-01,2080-01-01,2090-01-01,2100-01-01
med,intensity_convergence,aneris_constant_ratio,MESSAGE-GLOBIOM,,ABW,SSP2-45,,,kt CH4/yr,Emissions|CH4|Energy Sector,0.0892285407892369,0.09412978954534933,0.1392079195978138,0.18470959542836235,0.20212399164582442,0.2116631113187699,0.23878533060792428,0.2932348738643602,0.33840622249809393,0.35549316093470495
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,ABW,SSP2-45,,,kt CH4/yr,Emissions|CH4|Transportation Sector,0.008003416423409198,0.009038168530860057,0.011565621153422866,0.013877792617687939,0.015114144756570812,0.012500756614233029,0.012980819904079954,0.010976085132658445,0.009983510000161388,0.01006453895363849
med,intensity_convergence,aneris_reduce_offset_2150_cov,MESSAGE-GLOBIOM,,ABW,SSP2-45,,,Mt H2/yr,Emissions|H2|Agriculture,3.229396535931913e-06,3.62807616726245e-06,5.992764355481592e-06,9.288845415611601e-06,1.3551605668560742e-05,1.970695759738944e-05,3.143583159453128e-05,4.742201606550004e-05,7.26647647186022e-05,0.00010165846424338529
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,ABW,SSP2-45,,,Mt H2/yr,Emissions|H2|Energy Sector,3.438022651788369e-06,3.7847949349363574e-06,6.004014812379009e-06,9.320363883747252e-06,1.3686369393371705e-05,1.9949989329263018e-05,3.3399817762482354e-05,5.3922328392869616e-05,8.466437356845967e-05,0.00013010150504663622
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,ABW,SSP2-45,,,Mt H2/yr,Emissions|H2|Industrial Sector,2.806220525014611e-06,3.005592458351188e-06,4.6080041096150875e-06,7.056898938865592e-06,1.025397310803816e-05,1.4702988826360598e-05,2.1453878014492217e-05,2.914931189669562e-05,3.7432020718386706e-05,4.670809229322078e-05
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,ABW,SSP2-45,,,Mt H2/yr,"Emissions|H2|Residential, Commercial, Other",7.67874442144798e-06,8.178742604022376e-06,1.2441190714120721e-05,1.8956933594219828e-05,2.7314988351355242e-05,3.906530546004485e-05,5.676860392821688e-05,7.66681355630243e-05,9.813424893852598e-05,0.0001226982631252057
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,ABW,SSP2-45,,,Mt H2/yr,Emissions|H2|Solvents production and application,8.123159364609063e-08,8.964957997544769e-08,1.4200381253690376e-07,2.2744966172833812e-07,3.441224377805599e-07,5.051079770686059e-07,7.612765515475166e-07,1.0909696189365537e-06,1.4761463371484088e-06,1.899818109032294e-06
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,ABW,SSP2-45,,,Mt H2/yr,Emissions|H2|Transportation Sector,3.7697145119129176e-06,4.026249179545478e-06,6.1480915313669376e-06,9.400693857115103e-06,1.3618231428475109e-05,1.950388538061606e-05,2.9711806667862076e-05,4.301864521184405e-05,5.979470495742431e-05,8.361850248407117e-05
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,ABW,SSP2-45,,,Mt H2/yr,Emissions|H2|Waste,1.4641964651817213e-06,1.6776492248240772e-06,2.788807606732998e-06,4.3995195219509605e-06,6.580881741001672e-06,9.775182442203652e-06,1.5659857600306522e-05,2.3767676968814876e-05,3.556897709017914e-05,4.889278147620868e-05
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,ABW,SSP2-45,,,kt NH3/yr,Emissions|NH3|Energy Sector,0.0007814401561029,0.0009431731525708314,0.0014627947382673072,0.002325642590899047,0.003682495453108915,0.005706442979676145,0.008602206801852324,0.0124760272170456,0.016913030399941357,0.021827303006072406
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,ABW,SSP2-45,,,kt NH3/yr,Emissions|NH3|Transportation Sector,0.003299913886381901,0.0033897713250316086,0.00396906369453378,0.004178423623322743,0.0038515731766504764,0.002866511402244213,0.002843147757427831,0.0025188463796858075,0.002075606264686062,0.001591471041322604
med,intensity_convergence,aneris_reduce_ratio_2080,MESSAGE-GLOBIOM,,ABW,SSP2-45,,,kt NOx/yr,Emissions|NOx|Energy Sector,0.0294284726752706,0.034031305077163815,0.051173749035255685,0.07398249371017805,0.08991515194588497,0.11003356977044272,0.11154852851371609,0.12906034851946468,0.16085878433114095,0.20732467184257147
