assumptions,downscaling,harmonisation,model,modified,region,scenario,sector,source,unit,variable,2015-01-01,2020-01-01,2030-01-01,2040-01-01,2050-01-01,2060-01-01,2070-01-01,2080-01-01,2090-01-01,2100-01-01
med,intensity_convergence,aneris_constant_ratio,REMIND-MAGPIE,,ABW,SSP2-26,,,kt CH4/yr,Emissions|CH4|Energy Sector,0.0892285407892369,0.09269205533880799,0.09570859410752336,0.10005409183456816,0.11899091080696098,0.11197527166804289,0.08549687005191597,0.04847714774734245,0.03255351281133805,0.020603401232890048
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,ABW,SSP2-26,,,kt CH4/yr,Emissions|CH4|Transportation Sector,0.008003416423409198,0.00878494082062167,0.012731187676306209,0.03168329237548018,0.02552547150998974,0.016892301899645305,0.010507389835856014,0.003360284247654589,0.0012959357506510372,0.001286400255252093
med,intensity_convergence,aneris_reduce_offset_2150_cov,REMIND-MAGPIE,,ABW,SSP2-26,,,Mt H2/yr,Emissions|H2|Agriculture,3.229396535931913e-06,3.327267288247298e-06,3.012103377426631e-06,4.5206157681355e-06,5.924374294459057e-06,8.028911345732835e-06,1.1006747645859955e-05,1.2560685073616962e-05,1.846599704507693e-05,2.291814137456445e-05
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,ABW,SSP2-26,,,Mt H2/yr,Emissions|H2|Energy Sector,3.438022651788369e-06,3.58413781064029e-06,3.602505072942793e-06,5.769388610668341e-06,8.904289489425382e-06,1.5446009993920646e-05,3.0617114083449815e-05,5.3248256038497894e-05,8.340979217611275e-05,0.00012156688562361637
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,ABW,SSP2-26,,,Mt H2/yr,Emissions|H2|Industrial Sector,2.806220525014611e-06,2.842913766279463e-06,2.640842688003511e-06,4.414637891012732e-06,6.6405476842508945e-06,9.873538412813254e-06,1.5235908091887648e-05,2.0592883313470743e-05,2.767148786947001e-05,3.141645003692733e-05
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,ABW,SSP2-26,,,Mt H2/yr,"Emissions|H2|Residential, Commercial, Other",7.67874442144798e-06,7.7188301843744e-06,7.0877036356574616e-06,1.1549774727751436e-05,1.7093078922471823e-05,2.5364189271007273e-05,3.888754451878164e-05,5.193034149079369e-05,6.927616899045485e-05,7.880184857064406e-05
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,ABW,SSP2-26,,,Mt H2/yr,Emissions|H2|Solvents production and application,8.123159364609063e-08,8.249790224651698e-08,7.522481721965305e-08,1.272131020305372e-07,1.9282404228602662e-07,2.8306703190475923e-07,4.1507201957033914e-07,5.290471497541231e-07,6.946341593477773e-07,7.770608761813995e-07
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,ABW,SSP2-26,,,Mt H2/yr,Emissions|H2|Transportation Sector,3.7697145119129168e-06,3.802840707059316e-06,3.5054298117549374e-06,5.8347743642788875e-06,8.997916121222423e-06,1.4389140088291897e-05,2.5333538542654956e-05,3.956431003838435e-05,5.8096004958900106e-05,7.696982710682643e-05
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,ABW,SSP2-26,,,Mt H2/yr,Emissions|H2|Waste,1.4641964651817213e-06,1.5943376368806924e-06,1.750061819841516e-06,2.7122296753275754e-06,3.8469743562203754e-06,5.51340006150796e-06,7.820632198411156e-06,9.684892283330226e-06,1.3063801447588441e-05,1.5496554967900697e-05
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,ABW,SSP2-26,,,kt NH3/yr,Emissions|NH3|Energy Sector,0.0007814401561029,0.0009431392798229358,0.0014724005266398622,0.0023299182488750684,0.003701968600010384,0.005781423026289294,0.008752333038568637,0.012601163638111297,0.01699231318968132,0.02169329157988578
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,ABW,SSP2-26,,,kt NH3/yr,Emissions|NH3|Transportation Sector,0.003299913886381901,0.003337620673780089,0.003612111784729038,0.003969868704498677,0.004413941931015204,0.004856911952539268,0.005229622319505326,0.005431426805155195,0.005384605260343058,0.005127156322602059
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,ABW,SSP2-26,,,kt NOx/yr,Emissions|NOx|Energy Sector,0.0294284726752706,0.03496435945835656,0.032111743769471325,0.025861924818779476,0.024394885787681567,0.03340583772115697,0.044863841567268005,0.07361995624740554,0.12719909636337334,0.16143373949946938
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,ABW,SSP2-26,,,kt NOx/yr,Emissions|NOx|Transportation Sector,1.2925974729860588,1.1162963805637933,0.621977487946265,0.5218368235458679,0.45040160346068847,0.3177209815746908,0.1448529174915979,0.035349010134600976,0.008206856649350478,0.003482262098822108
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,AFG,SSP2-26,,,kt CH4/yr,Emissions|CH4|Energy Sector,13.940852951898368,10.806202284367892,8.47626592217548,10.043446233405545,14.09843788622792,20.55045844171566,25.749046563100727,25.810509372941514,27.075670379188658,25.540024971529846
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,AFG,SSP2-26,,,kt CH4/yr,Emissions|CH4|Transportation Sector,1.3640278134818933,1.3765585739740005,1.6560475577746476,2.7998476374691332,3.1046593875385256,3.19335952913881,3.1194362478993676,2.399390173279246,1.792301661847782,2.067888521182983
med,intensity_convergence,aneris_reduce_offset_2150_cov,REMIND-MAGPIE,,AFG,SSP2-26,,,Mt H2/yr,Emissions|H2|Agriculture,0.0005679976032047,0.0004902933738594037,0.0005220032794192649,0.0007369540727646027,0.001118194822815408,0.0018484347634420847,0.00286421495364456,0.004288188934706384,0.00720587334664357,0.011369253140400281
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,AFG,SSP2-26,,,Mt H2/yr,Emissions|H2|Energy Sector,0.0006046914970805,0.0005023682693573709,0.0004968438472858066,0.0007559582497750573,0.0012394901584469843,0.0021713322435779883,0.0037138834616352034,0.007416811780559974,0.015702264475431625,0.028197411370869892
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,AFG,SSP2-26,,,Mt H2/yr,Emissions|H2|Industrial Sector,0.0004935679203645001,0.00039819882206776694,0.00036147029617825815,0.0005548285006312453,0.0009005059240716018,0.0015536103451619788,0.0026399366191422495,0.0043496719741234705,0.007250138539442615,0.010897287758397994
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,AFG,SSP2-26,,,Mt H2/yr,"Emissions|H2|Residential, Commercial, Other",0.0013505645337994,0.0010810988678133192,0.0009700248041591195,0.0014513454897383128,0.0023175946540192637,0.003990599411237495,0.0067376351555541334,0.010968948389395756,0.018151025014430215,0.027333655418058135
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,AFG,SSP2-26,,,Mt H2/yr,Emissions|H2|Solvents production and application,1.4287297946261649e-05,1.1547754332906209e-05,1.0280817244463205e-05,1.595731864032856e-05,2.6098399792355623e-05,4.447185842979664e-05,7.18556175264352e-05,0.00011174827806843698,0.00018200173067761303,0.00026953573569223836
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,AFG,SSP2-26,,,Mt H2/yr,Emissions|H2|Transportation Sector,0.0006630306262203,0.0005326824498204687,0.00048013119546267595,0.0007406832550643662,0.0012347881266427112,0.0021575064702274837,0.003725529321140589,0.006756087469680296,0.012647177829570045,0.020834134453877846
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,AFG,SSP2-26,,,Mt H2/yr,Emissions|H2|Waste,0.0002575280160211,0.00022333973479573665,0.00023960770262931378,0.00034098805159547417,0.0005218571237527416,0.0008677850750425847,0.0013553162377701405,0.0020456775298596337,0.0034228332045410353,0.005375222806859249
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,AFG,SSP2-26,,,kt NH3/yr,Emissions|NH3|Energy Sector,0.1592041541606211,0.17173022595408785,0.22799885380697407,0.3364292859356935,0.5196282751120203,0.8035251819264375,1.2110383923702128,1.7834499141242768,2.5268663385716206,3.4085780475868805
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,AFG,SSP2-26,,,kt NH3/yr,Emissions|NH3|Transportation Sector,1.0799159737592294,0.8833986432535579,0.7463401362943923,0.7583093250714888,0.8415807174383728,0.9658590957396377,1.1005495953146753,1.2374754338832088,1.3444295767134717,1.407344446224276
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,AFG,SSP2-26,,,kt NOx/yr,Emissions|NOx|Energy Sector,0.9087071455253205,0.9817310444422633,1.3161322163646292,1.7562103560929854,2.4446890210565204,3.7160130033981087,6.173403127236691,11.533773149774104,26.281195606681454,46.576696283579736
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,AFG,SSP2-26,,,kt NOx/yr,Emissions|NOx|Transportation Sector,599.2967386033698,435.00090639455874,195.15320144796576,179.99523140973537,166.6500177887832,151.22003550668808,118.93599194337902,60.57751996149937,25.772806762638734,17.505278419888995
med,intensity_convergence,aneris_constant_ratio,REMIND-MAGPIE,,AGO,SSP2-26,,,kt CH4/yr,Emissions|CH4|Energy Sector,175.15298021553596,150.7539469057846,89.26059618040895,51.21759462478706,37.06792105409652,31.8458801938725,24.45690371002212,15.17266940186692,10.649285719396955,7.074788677379756
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,AGO,SSP2-26,,,kt CH4/yr,Emissions|CH4|Transportation Sector,1.0991828590038268,1.3550771603052463,1.516020649770654,1.6261620526682345,1.8262639227141115,2.3979570108559205,2.9178155105722134,1.9108465777626564,1.0367868031883676,1.0234727069826313
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,AGO,SSP2-26,,,Mt H2/yr,Emissions|H2|Agriculture,0.08326427085857818,0.08198833975619191,0.05732545079580658,0.0348099274897612,0.027554943717000378,0.025617112340342772,0.02334219161347336,0.019871665460121903,0.0177552035416177,0.01605567014283844
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,AGO,SSP2-26,,,Mt H2/yr,Emissions|H2|Energy Sector,0.0886433258075648,0.08364728039611102,0.05428443162666892,0.038059631349730345,0.03163178733750259,0.030043314757238006,0.031161737876686274,0.03687286056036484,0.040173129628450405,0.0365167252085412
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,AGO,SSP2-26,,,Mt H2/yr,Emissions|H2|Industrial Sector,0.07235342680402389,0.06624014060841324,0.03913272134626462,0.025649703061299326,0.021544730032372977,0.020783967564082736,0.02060818467780179,0.019153260416367068,0.017043951407777706,0.014744206556115507
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,AGO,SSP2-26,,,Mt H2/yr,"Emissions|H2|Residential, Commercial, Other",0.1979828268988769,0.17985080885678084,0.10503006440961388,0.06710884050011172,0.055460718532684625,0.05339652071966469,0.05260462232995255,0.048304584167275885,0.04267300175441846,0.036982877790572515
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,AGO,SSP2-26,,,Mt H2/yr,Emissions|H2|Solvents production and application,0.0020944127921008,0.001922311767884357,0.0011148497602322842,0.0007392636412874887,0.0006257373745884546,0.0005959959590768288,0.0005615490559269725,0.0004921444723849504,0.0004279068427043896,0.0003646862090283232
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,AGO,SSP2-26,,,Mt H2/yr,Emissions|H2|Transportation Sector,0.09719541303987068,0.08862075096083735,0.052022734899987974,0.0349652880737923,0.030382686738293148,0.029285884737335212,0.02999640600565232,0.03151984644497547,0.03110138957112112,0.027502682664130425
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,AGO,SSP2-26,,,Mt H2/yr,Emissions|H2|Waste,0.0377517129626455,0.03714799864984297,0.025932678112126184,0.015758449626225777,0.012481382854605313,0.01160618393041323,0.010578776278349031,0.009008399147064694,0.008046888623271282,0.007272763379896904
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,AGO,SSP2-26,,,kt NH3/yr,Emissions|NH3|Energy Sector,25.062395946085044,25.163565082070697,18.129227148077568,12.03115108642716,9.570347820669735,8.727605922755894,8.351825865653169,8.027511292957639,7.5083470023108045,6.787642849932129
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,AGO,SSP2-26,,,kt NH3/yr,Emissions|NH3|Transportation Sector,0.0349838160279329,0.04573957796962592,0.05628798119678247,0.0648793294793765,0.09098010128661471,0.14190970475667336,0.21806966473167058,0.3116896581340739,0.40241926622560253,0.4763281818614374
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,AGO,SSP2-26,,,kt NOx/yr,Emissions|NOx|Energy Sector,14.739815086158488,17.093964899571798,12.895644282700546,9.94764907881524,7.933520336194164,9.44539028957111,10.813901333493801,18.294287796122365,29.356832469328413,34.311048715121565
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,AGO,SSP2-26,,,kt NOx/yr,Emissions|NOx|Transportation Sector,75.54492363973375,83.44985974727832,68.47074528702782,56.516385823756096,53.84199741540294,57.60396299347665,54.0758877954127,32.5657884532973,13.820633169035094,7.072934991343065
med,intensity_convergence,aneris_constant_ratio,REMIND-MAGPIE,,ALB,SSP2-26,,,kt CH4/yr,Emissions|CH4|Energy Sector,5.618106286183559,4.748910718527574,3.585916023672708,3.137947976988967,2.150110962911737,1.4439997717663562,1.0679726571917336,0.9127511202438797,0.7474183396369727,0.5477966181759204
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,ALB,SSP2-26,,,kt CH4/yr,Emissions|CH4|Transportation Sector,0.1769338475688744,0.16922898701848083,0.14630385291978923,0.14354180973456412,0.10788354285162752,0.08111464147639895,0.06153663183142087,0.038813277625371956,0.02470795316537089,0.026292818361060465
med,intensity_convergence,aneris_reduce_offset_2150_cov,REMIND-MAGPIE,,ALB,SSP2-26,,,Mt H2/yr,Emissions|H2|Agriculture,1.1235863956060993e-05,1.439729219047552e-05,2.024566970307836e-05,2.9948950345296434e-05,4.264207856536396e-05,5.9635735942085824e-05,8.620039857147916e-05,0.0001241543024774857,0.00016455346236354663,0.00021975706443792944
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,ALB,SSP2-26,,,Mt H2/yr,Emissions|H2|Energy Sector,1.1953137483723611e-05,3.335259044291764e-05,5.983916625114513e-05,9.43569788170096e-05,0.00013621203393170787,0.00021339832181770322,0.00041155661798019077,0.0008166560358731915,0.0012820886737683575,0.001692972067226843
med,intensity_convergence,aneris_reduce_ratio_2080,REMIND-MAGPIE,,ALB,SSP2-26,,,Mt H2/yr,Emissions|H2|Industrial Sector,9.756520867510413e-06,1.196436140193297e-05,1.4773506201148717e-05,2.402518868854756e-05,3.6691272295425924e-05,5.3472013308110214e-05,8.370930167242011e-05,0.00013045912912380654,0.00016979888488406704,0.0002131429738875259
